Index;DatumUpdate;Huisnr;Huislet;Huisnrtoe;Postcode;Plaats;Telnr;Mobnr;Kvknr;Vestigingsnr;Rsin;Btwnr;Ibannr;Objective 1;Objective 2;Objective 3;
1;2;4;3;3;6;1;10;0;8;10;9;11;0;0.8076923076923077;4.0;4.0;
2;2;4;3;3;6;2;9;0;8;10;9;14;0;0.8846153846153846;5.0;28.0;
3;2;4;3;3;6;1;10;0;8;10;9;13;0;0.8589743589743589;4.0;6.0;
4;2;4;3;3;3;2;9;0;8;8;9;12;0;0.7487179487179488;4.0;6.0;
5;2;4;3;3;3;1;9;0;8;8;9;11;0;0.6461538461538462;4.0;4.0;
6;2;4;3;3;2;1;9;0;8;11;9;11;0;0.6884615384615385;4.0;4.0;
7;2;4;3;3;2;2;10;0;8;11;9;14;0;0.9192307692307692;4.0;28.0;
8;2;4;3;3;3;1;9;0;8;9;9;11;0;0.6653846153846155;4.0;4.0;
9;2;4;3;3;6;2;10;0;8;10;9;12;0;0.9102564102564104;4.0;6.0;
10;2;4;3;3;2;2;9;0;8;12;9;14;0;0.8615384615384615;4.0;1600.0;
11;2;4;3;3;1;1;10;0;8;8;9;11;0;0.6923076923076923;4.0;1.0;
12;2;4;3;3;5;2;10;0;8;11;9;13;0;0.9397435897435897;5.0;6.0;
13;2;4;3;3;4;2;10;0;8;12;9;11;0;0.8923076923076922;4.0;6.0;
14;2;4;3;3;4;1;9;0;8;9;9;13;0;0.732051282051282;4.0;6.0;
15;2;4;3;3;2;1;9;0;8;8;9;12;0;0.6564102564102564;4.0;6.0;
16;2;4;3;3;2;1;10;0;8;12;9;12;0;0.8102564102564103;4.0;6.0;
17;2;4;3;3;1;2;9;0;8;10;9;14;0;0.8076923076923077;4.0;1.0;
18;2;4;3;3;1;1;10;0;8;11;9;14;0;0.8269230769230769;4.0;1.0;
19;2;4;3;3;1;2;10;0;8;10;9;13;0;0.8589743589743589;4.0;1.0;
20;2;4;3;3;2;1;9;0;8;12;9;14;0;0.7846153846153846;4.0;10.0;
21;2;4;3;3;4;1;9;0;8;9;9;11;0;0.6807692307692308;4.0;4.0;
22;2;4;3;3;3;2;10;0;8;12;9;13;0;0.9282051282051282;4.0;6.0;
23;2;4;3;3;1;2;10;0;8;10;9;13;0;0.8589743589743589;4.0;1.0;
24;2;4;3;3;6;1;9;0;8;12;9;11;0;0.7692307692307693;4.0;6.0;
25;2;4;3;3;2;1;9;0;8;8;9;14;0;0.7076923076923076;4.0;10.0;
26;2;4;3;3;2;2;9;0;8;8;9;13;0;0.7589743589743588;4.0;6.0;
27;2;4;3;3;5;1;9;0;8;12;9;14;0;0.8307692307692308;5.0;10.0;
28;2;4;3;3;6;1;9;0;8;8;9;12;0;0.717948717948718;4.0;6.0;
29;2;4;3;3;1;1;10;0;8;11;9;14;0;0.8269230769230769;4.0;1.0;
30;2;4;3;3;4;2;9;0;8;11;9;14;0;0.8730769230769231;4.0;28.0;
31;2;4;3;3;3;1;10;0;8;9;9;14;0;0.8192307692307692;4.0;10.0;
32;2;4;3;3;6;1;10;0;8;8;9;12;0;0.7948717948717949;4.0;6.0;
33;2;4;3;3;3;1;10;0;8;11;9;13;0;0.832051282051282;4.0;6.0;
34;2;4;3;3;6;1;10;0;8;8;9;12;0;0.7948717948717949;4.0;6.0;
35;2;4;3;3;5;2;10;0;8;11;9;11;0;0.8884615384615385;4.0;4.0;
36;2;4;3;3;4;1;9;0;8;12;9;12;0;0.7641025641025642;4.0;6.0;
37;2;4;3;3;2;1;10;0;8;9;9;11;0;0.7269230769230769;4.0;4.0;
38;2;4;3;3;2;1;9;0;8;8;9;11;0;0.6307692307692307;4.0;4.0;
39;2;4;3;3;1;1;9;0;8;8;9;11;0;0.6153846153846154;4.0;1.0;
40;2;4;3;3;5;1;9;0;8;11;9;14;0;0.8115384615384615;4.0;10.0;
41;2;4;3;3;3;1;10;0;8;11;9;11;0;0.7807692307692308;4.0;4.0;
42;2;4;3;3;1;1;9;0;8;10;9;13;0;0.7051282051282051;4.0;1.0;
43;2;4;3;3;4;1;10;0;8;10;9;12;0;0.8025641025641026;4.0;6.0;
44;2;4;3;3;1;2;9;0;8;12;9;14;0;0.8461538461538461;4.0;85.0;
45;2;4;3;3;1;2;9;0;8;12;9;14;0;0.8461538461538461;4.0;85.0;
46;2;4;3;3;5;1;9;0;8;8;9;12;0;0.7025641025641025;4.0;6.0;
47;2;4;3;3;1;2;9;0;8;11;9;14;0;0.8269230769230769;4.0;1.0;
48;2;4;3;3;1;1;10;0;8;8;9;11;0;0.6923076923076923;4.0;1.0;
49;2;4;3;3;5;2;9;0;8;9;9;11;0;0.7730769230769231;4.0;4.0;
50;2;4;3;3;3;2;9;0;8;10;9;14;0;0.8384615384615385;4.0;28.0;
51;2;4;3;3;6;2;10;0;8;9;9;12;0;0.8910256410256411;4.0;6.0;
52;2;4;3;3;3;2;10;0;8;9;9;14;0;0.8961538461538462;4.0;28.0;
53;2;4;3;3;6;1;9;0;8;11;9;14;0;0.8269230769230769;5.0;10.0;
54;2;4;3;3;5;2;9;0;8;9;9;13;0;0.8243589743589743;4.0;6.0;
55;2;4;3;3;3;2;9;0;8;12;9;13;0;0.8512820512820513;4.0;6.0;
56;2;4;3;3;2;2;9;0;8;10;9;11;0;0.7461538461538461;4.0;4.0;
57;2;4;3;3;2;1;9;0;8;10;9;14;0;0.7461538461538461;4.0;10.0;
58;2;4;3;3;2;1;10;0;8;8;9;12;0;0.7333333333333333;4.0;6.0;
59;2;4;3;3;1;2;10;0;8;11;9;12;0;0.8525641025641026;4.0;1.0;
60;2;4;3;3;5;1;9;0;8;10;9;12;0;0.7410256410256412;4.0;6.0;
61;2;4;3;3;1;2;9;0;8;11;9;13;0;0.8012820512820512;4.0;1.0;
62;2;4;3;3;2;2;10;0;8;10;9;11;0;0.823076923076923;4.0;4.0;
63;2;4;3;3;1;2;9;0;8;10;9;14;0;0.8076923076923077;4.0;1.0;
64;2;4;3;3;3;2;10;0;8;9;9;14;0;0.8961538461538462;4.0;28.0;
65;2;4;3;3;4;2;10;0;8;9;9;14;0;0.9115384615384615;4.0;28.0;
66;2;4;3;3;6;1;9;0;8;9;9;13;0;0.7628205128205128;4.0;6.0;
67;2;4;3;3;6;2;9;0;8;8;9;12;0;0.7948717948717949;4.0;6.0;
68;2;4;3;3;1;2;10;0;8;10;9;12;0;0.8333333333333334;4.0;1.0;
69;2;4;3;3;4;2;9;0;8;12;9;11;0;0.8153846153846154;4.0;6.0;
70;2;4;3;3;6;1;10;0;8;10;9;14;0;0.8846153846153846;5.0;10.0;
71;2;4;3;3;6;2;9;0;8;11;9;11;0;0.8269230769230769;4.0;4.0;
72;2;4;3;3;5;2;10;0;8;9;9;11;0;0.8500000000000001;4.0;4.0;
73;2;4;3;3;6;1;10;0;8;11;9;13;0;0.8782051282051282;5.0;6.0;
74;2;4;3;3;3;2;9;0;8;12;9;12;0;0.8256410256410257;4.0;6.0;
75;2;4;3;3;5;1;10;0;8;9;9;13;0;0.8243589743589743;4.0;6.0;
76;2;4;3;3;6;2;10;0;8;8;9;12;0;0.8717948717948718;4.0;6.0;
77;2;4;3;3;4;2;9;0;8;11;9;13;0;0.8474358974358973;4.0;6.0;
78;2;4;3;3;1;2;9;0;8;12;9;11;0;0.7692307692307693;4.0;1.0;
79;2;4;3;3;2;2;9;0;8;10;9;11;0;0.7461538461538461;4.0;4.0;
80;2;4;3;3;5;2;9;0;8;8;9;11;0;0.7538461538461539;4.0;4.0;
81;2;4;3;3;3;1;9;0;8;10;9;12;0;0.7102564102564103;4.0;6.0;
82;2;4;3;3;1;2;10;0;8;10;9;13;0;0.8589743589743589;4.0;1.0;
83;2;4;3;3;2;1;10;0;8;12;9;13;0;0.8358974358974358;4.0;6.0;
84;2;4;3;3;5;2;9;0;8;10;9;13;0;0.8435897435897436;4.0;6.0;
85;2;4;3;3;6;1;10;0;8;9;9;12;0;0.8141025641025641;4.0;6.0;
86;2;4;3;3;1;1;10;0;8;9;9;14;0;0.7884615384615384;4.0;1.0;
87;2;4;3;3;5;2;9;0;8;8;9;12;0;0.7794871794871796;4.0;6.0;
88;2;4;3;3;3;1;9;0;8;12;9;11;0;0.7230769230769231;4.0;6.0;
89;2;4;3;3;2;2;9;0;8;9;9;11;0;0.7269230769230769;4.0;4.0;
90;2;4;3;3;6;2;9;0;8;8;9;12;0;0.7948717948717949;4.0;6.0;
91;2;4;3;3;2;1;9;0;8;10;9;13;0;0.7205128205128205;4.0;6.0;
92;2;4;3;3;6;1;9;0;8;8;9;13;0;0.7435897435897435;4.0;6.0;
93;2;4;3;3;6;2;10;0;8;10;9;14;0;0.9615384615384616;5.0;28.0;
94;2;4;3;3;2;1;10;0;8;9;9;13;0;0.7782051282051281;4.0;6.0;
95;2;4;3;3;1;2;9;0;8;8;9;13;0;0.7435897435897435;4.0;1.0;
96;2;4;3;3;6;1;10;0;8;11;9;11;0;0.8269230769230769;4.0;4.0;
97;2;4;3;3;2;1;9;0;8;9;9;14;0;0.7269230769230769;4.0;10.0;
98;2;4;3;3;2;2;9;0;8;8;9;11;0;0.7076923076923076;4.0;4.0;
99;2;4;3;3;3;2;9;0;8;12;9;12;0;0.8256410256410257;4.0;6.0;
100;2;4;3;3;4;1;10;0;8;9;9;13;0;0.8089743589743589;4.0;6.0;
